shapeid,partid,x,y,id,Other,
24,,-60.32504731,53.29218474,,10.1,
23,,-60.32539583,53.29214343,,15.1,
18,,-60.39859674,53.29551849,,16.1,
17,,-60.39883535,53.29558323,,22.1,
16,,-60.38392916,53.29222014,,24.1,
14,,-60.38493149,53.292557,,42.1,
15,,-60.38434752,53.29282161,,58.1,
11,,-60.38807505,53.29277,,59.1,
12,,-60.38758369,53.29300176,,63.1,
13,,-60.38577291,53.29207188,,70.1,
10,,-60.57351196,53.26871971,,145.1,
8,,-60.57425526,53.26847044,,146.1,
9,,-60.57397427,53.26862535,,147.1,
7,,-60.38837331,53.29286008,,199.1,
6,,-60.39765367,53.29436699,,202.1,
4,,-60.38973866,53.29433087,,205.1,core to bad to process
5,,-60.38950868,53.29435667,,206.1,
2,,-60.3832404,53.29251102,,209.1,
3,,-60.38410537,53.29223234,,212.1,
26,,-60.32564521,53.29183544,,213.1,
25,,-60.32581196,53.29231853,,214.1,
22,,-60.32611691,53.29244245,,215.1,
0,,-60.38848908,53.29057286,,220.1,
21,,-60.41587885,53.39640843,,222.1,
19,,-60.41564024,53.39663495,,223.1,
20,,-60.41572815,53.39652637,,224.1,
,,-60.38453098,53.29274702,,57.1,in tree layer
,,-60.38406481,53.29150553,,30.1,in tree layer