,x,y,Mn ppm,Al ppm,Cr ppm,Fe ppm,Ni ppm,Cu ppm,Zn ppm,As ppm,Pb ppm
17-MW150S-S2E0,-60.39915682,53.29529173,0.073,<5.0,<1.0,<50,<2.0,0.00058,<5.0,<1.0,<0.5
17-MW150M-S2E0,-60.39915682,53.29529173,0.065,<5.0,<1.0,<50,<2.0,0.00071,<5.0,<1.0,<0.5
17-MW150D-S2E0,-60.39917398,53.29529173,0.026,<5.0,<1.0,<50,<2.0,<0.5,<5.0,<1.0,<0.5
17-MW171-S2E0,-60.39874488,53.29528147,0.46,<5.0,<1.0,0.74,<2.0,0.00055,0.0068,<1.0,<0.5
17-MW151S-S2E0,-60.39450536,53.29469672,0.37,0.013,<1.0,13,<2.0,<0.5,<5.0,<1.0,0.0028
17-MW151M-S2E0,-60.39450536,53.29469672,1.3,<5.0,<1.0,1.3,<2.0,<0.5,<5.0,0.0014,<0.5
17-MW151D-S2E0,-60.39450536,53.29470698,0.032,<5.0,<1.0,<50,<2.0,<0.5,<5.0,<1.0,<0.5
17-MW152S-S2E1,-60.39264735,53.29462747,0.17,0.0057,<1.0,<50,<2.0,<0.5,<5.0,<1.0,<0.5
17-MW152M-S2E1,-60.39264735,53.29463773,0.47,<5.0,<1.0,2.3,<2.0,<0.5,<5.0,<1.0,<0.5
17-MW152D-S2E1,-60.39264735,53.29463773,0.041,<5.0,0.0014,<50,<2.0,<0.5,<5.0,<1.0,<0.5
17-MW153S-S2E1,-60.39035166,53.29428636,0.77,0.0084,<1.0,5.4,<2.0,<0.5,<5.0,<1.0,<0.5
17-MW153M-S2E1,-60.3903345,53.29429662,0.5,<5.0,<1.0,1.2,<2.0,<0.5,<5.0,<1.0,<0.5
17-MW153D-S2E1,-60.39035166,53.29428636,0.028,0.0085,<1.0,<50,<2.0,<0.5,0.0052,<1.0,<0.5
17-MW159-S2E1,-60.38777705,53.29436843,0.0038,<5.0,<1.0,<50,<2.0,0.0019,0.0072,<1.0,<0.5
17-MW160-S2E1,-60.38611214,53.29418377,0.066,<5.0,<1.0,<50,<2.0,0.001,0.0065,<1.0,<0.5
12-MW29-S3E1,-60.38841212,53.29314759,0.22,0.0062,<1.0,41,0.0023,<0.5,<5.0,<1.0,<0.5
17-MW161M-S2E1,-60.38681587,53.29263462,0.15,<5.0,<1.0,0.072,<2.0,0.00079,<5.0,<1.0,<0.5
17-MW162M-S2E1,-60.38839496,53.29313733,0.47,<5.0,<1.0,0.8,<2.0,<0.5,<5.0,<1.0,<0.5
17-MW162D-S2E1,-60.388412,53.2931373,0.03,0.1,0.001,0.19,<2.0,<0.5,<5.0,<1.0,<0.5
12-MW33-S3E1,-60.38700467,53.29240891,0.46,0.0063,<1.0,14,<2.0,0.0011,0.0066,<1.0,<0.5
17-MW163S-S2E1,-60.38446439,53.29301422,0.36,0.0074,<1.0,1.7,<2.0,0.001,0.011,<1.0,<0.5
17-MW163M-S2E1,-60.38446439,53.29301422,0.079,0.0055,<1.0,<50,0,<0.5,<5.0,<1.0,<0.5